TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	Throttle	Steering	Brake	Gear	Handbrake	RPM	Speed	ImageFile
1597551181433	-0.000071	0.000000	0.149940	0.707106	0.000024	-0.000024	-0.707107	1.000000	0.000000	0.000000	0	0	25.372316	-0.000001	img__0_1597551181432018000.jpg
1597551181650	-0.000071	0.000000	0.152745	0.707106	0.000024	-0.000023	-0.707107	1.000000	0.000000	0.000000	0	0	262.907288	0.000000	img__0_1597551181648596600.jpg
1597551181870	-0.000068	0.000000	0.149626	0.707106	0.000023	-0.000023	-0.707107	1.000000	0.000000	0.000000	0	0	703.339355	-0.000000	img__0_1597551181868864200.jpg
1597551182073	-0.000068	0.000000	0.146544	0.707106	0.000022	-0.000022	-0.707107	1.000000	0.000000	0.000000	0	0	1160.345581	0.000001	img__0_1597551182072755300.jpg
1597551182276	-0.000068	0.000000	0.144337	0.707106	0.000022	-0.000022	-0.707107	1.000000	0.000000	0.000000	0	0	1280.958862	-0.000000	img__0_1597551182275651000.jpg
1597551182498	-0.000068	0.000000	0.143281	0.707106	0.000022	-0.000022	-0.707107	1.000000	0.000000	0.000000	1	0	1136.365112	0.000740	img__0_1597551182497403400.jpg
1597551182718	-0.000068	-0.011938	0.142075	0.707105	0.000291	0.000247	-0.707108	1.000000	0.000000	0.000000	1	0	1391.121948	0.351009	img__0_1597551182716963000.jpg
1597551182929	-0.000063	-0.058096	0.141201	0.707107	0.000748	0.000704	-0.707106	1.000000	0.000000	0.000000	1	0	1651.183960	0.653868	img__0_1597551182928211100.jpg
1597551183148	-0.000063	-0.135112	0.140664	0.707109	0.000994	0.000950	-0.707103	1.000000	0.000000	0.000000	1	0	1912.864258	0.986918	img__0_1597551183147006800.jpg
1597551183359	-0.000063	-0.243750	0.140298	0.707112	0.001213	0.001169	-0.707100	1.000000	0.000000	0.000000	1	0	2174.850098	1.271578	img__0_1597551183358221100.jpg
1597551183575	-0.000054	-0.381729	0.140094	0.707115	0.001280	0.001236	-0.707096	1.000000	0.000000	0.000000	1	0	2435.688477	1.591233	img__0_1597551183573929600.jpg
1597551183782	-0.000046	-0.550220	0.139940	0.707118	0.001381	0.001336	-0.707093	1.000000	0.000000	0.000000	1	0	2695.061279	1.865701	img__0_1597551183780942200.jpg
1597551184005	-0.000037	-0.747178	0.139871	0.707122	0.001374	0.001330	-0.707089	1.000000	0.000000	0.000000	1	0	2952.213623	2.177172	img__0_1597551184003856200.jpg
1597551184206	-0.000020	-0.973960	0.139803	0.707126	0.001430	0.001386	-0.707085	1.000000	0.000000	0.000000	1	0	3207.130615	2.445433	img__0_1597551184204963700.jpg
1597551184424	0.000000	-1.228652	0.139785	0.707131	0.001401	0.001357	-0.707080	1.000000	0.000000	0.000000	1	0	3459.354248	2.750753	img__0_1597551184423119700.jpg
1597551184639	0.000022	-1.512588	0.139751	0.707135	0.001439	0.001396	-0.707075	1.000000	0.000000	0.000000	1	0	3708.967041	3.014580	img__0_1597551184638178800.jpg
1597551184862	0.000054	-1.823950	0.139756	0.707140	0.001398	0.001354	-0.707070	1.000000	0.000000	0.000000	1	0	3955.660156	3.313122	img__0_1597551184860938600.jpg
1597551185071	0.000093	-2.164043	0.139737	0.707145	0.001426	0.001383	-0.707065	1.000000	0.000000	0.000000	1	0	4199.556641	3.575129	img__0_1597551185070675700.jpg
1597551185287	0.000142	-2.531279	0.139749	0.707151	0.001385	0.001342	-0.707060	1.000000	0.000000	0.000000	1	0	4440.452637	3.868275	img__0_1597551185286270700.jpg
1597551185506	0.000198	-2.926836	0.139735	0.707157	0.001411	0.001368	-0.707054	1.000000	0.000000	0.000000	1	0	4678.471191	4.129478	img__0_1597551185504903500.jpg
